"Story","Title","Result","Date","Stability","Duration (s)"
"Ingresar a la Pagina de CODEBUSTER","El usuario abre la Pagina de CODEBUSTER correctamente","SUCCESS","2024-03-13T17:24:23.6539971-05:00[America/Bogota]","0.0","12.12"
"Inicio de Sesion en la Pagina de CODEBUSTER","El usuario registrado inicia sesion exitosamente en la Pagina de CODEBUSTER","SUCCESS","2024-03-13T17:24:35.8046841-05:00[America/Bogota]","0.0","38.51"
"Inicio de Sesion en la Pagina de CODEBUSTER","Login Fallido por contraseña incorrecta en la Pagina de CODEBUSTER","SUCCESS","2024-03-13T17:25:14.3273229-05:00[America/Bogota]","0.0","13.56"
"Solucion Reto  en la Pagina de CODEBUSTER","El usuario soluciona un reto correctamente en la  Pagina de CODEBUSTER","SUCCESS","2024-04-01T21:18:07.8872417-05:00[America/Bogota]","0.0","16.43"
"Solucion Reto  en la Pagina de CODEBUSTER","El usuario soluciona un reto incorrectamente en la  Pagina de CODEBUSTER","SUCCESS","2024-04-01T21:18:58.4049497-05:00[America/Bogota]","0.0","15.92"
"Solucion Reto  en la Pagina de CODEBUSTER","El usuario solicita una pista para resolver correctamente un reto en la  Pagina de CODEBUSTER","SUCCESS","2024-04-01T21:30:19.1413906-05:00[America/Bogota]","0.0","28.4"
"Vizualizar Reto en la Pagina de CODEBUSTER","El usuario visualiza un reto detalladamente en la  Pagina de CODEBUSTER correctamente","SUCCESS","2024-04-01T20:44:55.3012144-05:00[America/Bogota]","0.0","17.6"
"Validar Contenido menu del Ciberseguridad Pagina de CODEBUSTER","El usuario Valida el Contenido menu del Ciberseguridad en la  Pagina de CODEBUSTER correctamente","SUCCESS","2024-04-01T20:49:50.4347637-05:00[America/Bogota]","0.0","14.52"
"Validar Contenido del menu Ciberseguridad Pagina de CODEBUSTER","El usuario Valida el Contenido del menu Ciberseguridad en la  Pagina de CODEBUSTER correctamente","SUCCESS","2024-04-01T20:51:26.8696148-05:00[America/Bogota]","0.0","13.06"
